Campaign Name,Spend,Cost Per Click,Cost Per Conversion,Revenue,Clicks
Pmax Feed Only | Fruits | StarterPPC,498.11359,0.8139110947712418,0.0,0.0,612
YT Video Remarketing | StarterPPC,27.818243,1.324678238095238,0.0,0.0,21
Pmax Feed Only | Nursery | StarterPPC,15.091924,0.6288301666666667,0.0,0.0,24
Inbound Search | StarterPPC,11.52,1.28,0.0,0.0,9
Outbound Video | StarterPPC,5.065221,1.688407,0.0,0.0,3
TR | LaL | QUIZ,0.0,0.0,0.0,99.0,0
