Campaign Name,Spend,Cost Per Click,Cost Per Conversion,Revenue,Clicks
Pmax Feed Only | Fruits | StarterPPC,528.981409,0.8063740990853658,0.0,0.0,656
YT Video Remarketing | StarterPPC,29.233023,1.3287737727272726,0.0,0.0,22
Pmax Feed Only | Nursery | StarterPPC,16.073678,0.5953214074074075,0.0,0.0,27
Inbound Search | StarterPPC,11.52,1.28,0.0,0.0,9
Outbound Video | StarterPPC,5.552412,1.388103,0.0,0.0,4
TR | LaL | QUIZ,0.0,0.0,0.0,99.0,0
